"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"05.01.2015 07:00 - 05.01.2015 07:15","10609","11502"
"05.01.2015 07:15 - 05.01.2015 07:30","10768","11898"
"05.01.2015 07:30 - 05.01.2015 07:45","10985","12193"
"05.01.2015 07:45 - 05.01.2015 08:00","11188","12279"
"05.01.2015 08:00 - 05.01.2015 08:15","11037","12350"
"05.01.2015 08:15 - 05.01.2015 08:30","11269","12460"
"05.01.2015 08:30 - 05.01.2015 08:45","11356","12451"
"05.01.2015 08:45 - 05.01.2015 09:00","11390","12473"
"05.01.2015 09:00 - 05.01.2015 09:15","11304","12468"
"05.01.2015 09:15 - 05.01.2015 09:30","11354","12543"
"05.01.2015 09:30 - 05.01.2015 09:45","11441","12676"
"05.01.2015 09:45 - 05.01.2015 10:00","11468","12723"
"05.01.2015 10:00 - 05.01.2015 10:15","11458","12638"
"05.01.2015 10:15 - 05.01.2015 10:30","11496","12632"
"05.01.2015 10:30 - 05.01.2015 10:45","11557","12581"
"05.01.2015 10:45 - 05.01.2015 11:00","11570","12657"
